aset,bset,class,conf,meas
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 RESIDENCE_SINCE=from_1d6_le_2d2 EXISTING_CREDITS=le_1d6 OWN_TELEPHONE=none,CREDIT=bad,0.32,4.23
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 RESIDENCE_SINCE=from_1d6_le_2d2 EXISTING_CREDITS=le_1d6,CREDIT=bad,0.3,4.23
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 HOUSING=own EXISTING_CREDITS=le_1d6 OWN_TELEPHONE=none,CREDIT=bad,0.3,4.23
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8 OWN_TELEPHONE=none,CREDIT=bad,0.6,4.23
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 AGE=le_30d2,CREDIT=bad,0.32,4.23
FOREIGN_WORKER=yes,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 RESIDENCE_SINCE=from_1d6_le_2d2 OWN_TELEPHONE=none,CREDIT=bad,0.7,4.22
FOREIGN_WORKER=yes,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.7,4.21
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 SAVINGS_STATUS=lt_100,CREDIT=bad,0.6,4.2
PERSONAL_STATUS=female_div_sep_mar,SAVINGS_STATUS=lt_100 EMPLOYMENT=from_1_lt_4 PROPERTY_MAGNITUDE=real_estate OWN_TELEPHONE=none,CREDIT=bad,0.5,4.2
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid HOUSING=own OWN_TELEPHONE=none,CREDIT=bad,0.32,4.19
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 SAVINGS_STATUS=lt_100 HOUSING=own OWN_TELEPHONE=none,CREDIT=bad,0.29,4.19
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 OTHER_PAYMENT_PLANS=none NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.52,4.18
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 EXISTING_CREDITS=from_1d6_le_2d2 OWN_TELEPHONE=none,CREDIT=bad,0.52,4.18
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 OTHER_PAYMENT_PLANS=none HOUSING=own,CREDIT=bad,0.46,4.17
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.34,4.17
PERSONAL_STATUS=female_div_sep_mar,CREDIT_AMOUNT=le_38848d8 EMPLOYMENT=from_1_lt_4 PROPERTY_MAGNITUDE=real_estate AGE=le_30d2,CREDIT=bad,0.52,4.17
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid PURPOSE=new_car OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.41,4.16
PERSONAL_STATUS=female_div_sep_mar,INSTALLMENT_COMMITMENT=gt_2d8 PROPERTY_MAGNITUDE=real_estate AGE=le_30d2 EXISTING_CREDITS=le_1d6,CREDIT=bad,0.5,4.16
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 PROPERTY_MAGNITUDE=real_estate OTHER_PAYMENT_PLANS=none NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.6,4.15
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid RESIDENCE_SINCE=from_1d6_le_2d2 HOUSING=own EXISTING_CREDITS=le_1d6,CREDIT=bad,0.37,4.14
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 HOUSING=own EXISTING_CREDITS=le_1d6,CREDIT=bad,0.25,4.14
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.51,4.14
FOREIGN_WORKER=yes,PURPOSE=new_car OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6,CREDIT=bad,0.37,4.13
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 PROPERTY_MAGNITUDE=real_estate AGE=le_30d2 JOB=skilled,CREDIT=bad,0.75,4.12
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 AGE=le_30d2 OWN_TELEPHONE=none,CREDIT=bad,0.34,4.12
FOREIGN_WORKER=yes,HOUSING=rent OWN_TELEPHONE=none,CREDIT=bad,0.45,4.12
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 HOUSING=own NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.25,4.1
FOREIGN_WORKER=yes,PURPOSE=new_car SAVINGS_STATUS=lt_100 EXISTING_CREDITS=from_1d6_le_2d2 OWN_TELEPHONE=none,CREDIT=bad,0.51,4.1
PERSONAL_STATUS=female_div_sep_mar,EMPLOYMENT=from_1_lt_4 PROPERTY_MAGNITUDE=real_estate OTHER_PAYMENT_PLANS=none NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.39,4.08
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 HOUSING=own NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.22,4.07
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 AGE=from_30d2_le_41d4,CREDIT=bad,0.33,4.07
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid RESIDENCE_SINCE=from_1d6_le_2d2 HOUSING=own,CREDIT=bad,0.37,4.07
FOREIGN_WORKER=yes,RESIDENCE_SINCE=from_1d6_le_2d2 OTHER_PAYMENT_PLANS=none HOUSING=own EXISTING_CREDITS=le_1d6,CREDIT=bad,0.33,4.06
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid HOUSING=own EXISTING_CREDITS=le_1d6 OWN_TELEPHONE=none,CREDIT=bad,0.33,4.05
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 HOUSING=own NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.5,4.05
PERSONAL_STATUS=female_div_sep_mar,RESIDENCE_SINCE=gt_2d8 PROPERTY_MAGNITUDE=real_estate AGE=le_30d2 EXISTING_CREDITS=le_1d6,CREDIT=bad,0.57,4.05
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid OTHER_PAYMENT_PLANS=none NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.33,4.05
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 HOUSING=rent,CREDIT=bad,0.57,4.03
FOREIGN_WORKER=yes,OTHER_PAYMENT_PLANS=none JOB=skilled OWN_TELEPHONE=none,CREDIT=bad,0.31,4.03
PERSONAL_STATUS=female_div_sep_mar,EMPLOYMENT=from_1_lt_4 PROPERTY_MAGNITUDE=real_estate AGE=le_30d2,CREDIT=bad,0.56,4.03
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,EMPLOYMENT=from_1_lt_4 PROPERTY_MAGNITUDE=real_estate AGE=le_30d2,CREDIT=bad,0.56,4.03
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 JOB=skilled,CREDIT=bad,0.57,4.03
PERSONAL_STATUS=female_div_sep_mar,INSTALLMENT_COMMITMENT=gt_2d8 PROPERTY_MAGNITUDE=real_estate OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6,CREDIT=bad,0.41,4.02
PERSONAL_STATUS=female_div_sep_mar,CREDIT_HISTORY=existing_paid EMPLOYMENT=lt_1 RESIDENCE_SINCE=gt_2d8 AGE=le_30d2,CREDIT=bad,0.5,4
FOREIGN_WORKER=yes,RESIDENCE_SINCE=from_1d6_le_2d2 OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6 OWN_TELEPHONE=none,CREDIT=bad,0.3,4
FOREIGN_WORKER=yes,OTHER_PAYMENT_PLANS=none HOUSING=own EXISTING_CREDITS=le_1d6 OWN_TELEPHONE=none,CREDIT=bad,0.28,4
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,PURPOSE=new_car AGE=le_30d2 HOUSING=rent,CREDIT=bad,0.66,4
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid PURPOSE=new_car OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6,CREDIT=bad,0.4,4
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car AGE=le_30d2 HOUSING=rent,CREDIT=bad,0.66,4
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car AGE=le_30d2 OTHER_PAYMENT_PLANS=none HOUSING=rent,CREDIT=bad,0.66,4
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 EXISTING_CREDITS=from_1d6_le_2d2 OWN_TELEPHONE=none,CREDIT=bad,0.5,4
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 INSTALLMENT_COMMITMENT=gt_2d8,CREDIT=bad,0.57,3.99
PERSONAL_STATUS=female_div_sep_mar,EMPLOYMENT=from_1_lt_4 INSTALLMENT_COMMITMENT=gt_2d8 PROPERTY_MAGNITUDE=real_estate,CREDIT=bad,0.4,3.99
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,EMPLOYMENT=from_1_lt_4 INSTALLMENT_COMMITMENT=gt_2d8 PROPERTY_MAGNITUDE=real_estate,CREDIT=bad,0.4,3.99
FOREIGN_WORKER=yes,AGE=le_30d2 EXISTING_CREDITS=le_1d6,CREDIT=bad,0.36,3.97
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid AGE=le_30d2,CREDIT=bad,0.36,3.97
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid CREDIT_AMOUNT=le_38848d8 HOUSING=own OWN_TELEPHONE=none,CREDIT=bad,0.3,3.96
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid OTHER_PAYMENT_PLANS=none HOUSING=own OWN_TELEPHONE=none,CREDIT=bad,0.3,3.96
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 INSTALLMENT_COMMITMENT=gt_2d8 PROPERTY_MAGNITUDE=real_estate OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.61,3.96
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid CREDIT_AMOUNT=le_38848d8 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.28,3.96
PERSONAL_STATUS=female_div_sep_mar,EMPLOYMENT=from_1_lt_4 INSTALLMENT_COMMITMENT=gt_2d8 PROPERTY_MAGNITUDE=real_estate NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.44,3.96
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid CREDIT_AMOUNT=le_38848d8 RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.3,3.95
FOREIGN_WORKER=yes,PURPOSE=new_car OTHER_PAYMENT_PLANS=none HOUSING=own,CREDIT=bad,0.3,3.95
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid CREDIT_AMOUNT=le_38848d8 RESIDENCE_SINCE=from_1d6_le_2d2 OWN_TELEPHONE=none,CREDIT=bad,0.32,3.95
PERSONAL_STATUS=female_div_sep_mar,CREDIT_HISTORY=existing_paid CREDIT_AMOUNT=le_38848d8 RESIDENCE_SINCE=from_1d6_le_2d2 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.5,3.95
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,RESIDENCE_SINCE=gt_2d8 PROPERTY_MAGNITUDE=real_estate JOB=skilled,CREDIT=bad,0.42,3.94
FOREIGN_WORKER=yes,PURPOSE=new_car AGE=from_30d2_le_41d4,CREDIT=bad,0.32,3.94
FOREIGN_WORKER=yes,PURPOSE=new_car SAVINGS_STATUS=lt_100 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.39,3.94
FOREIGN_WORKER=yes,DURATION=le_17d6 CREDIT_AMOUNT=le_38848d8 HOUSING=own OWN_TELEPHONE=none,CREDIT=bad,0.19,3.93
FOREIGN_WORKER=yes,DURATION=le_17d6 CREDIT_AMOUNT=le_38848d8 HOUSING=own,CREDIT=bad,0.17,3.92
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.27,3.91
FOREIGN_WORKER=yes,PURPOSE=new_car EXISTING_CREDITS=from_1d6_le_2d2 OWN_TELEPHONE=none,CREDIT=bad,0.48,3.91
FOREIGN_WORKER=yes,DURATION=le_17d6 HOUSING=own OWN_TELEPHONE=none,CREDIT=bad,0.19,3.9
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 RESIDENCE_SINCE=gt_2d8,CREDIT=bad,0.55,3.89
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 SAVINGS_STATUS=lt_100 INSTALLMENT_COMMITMENT=gt_2d8,CREDIT=bad,0.35,3.89
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 EXISTING_CREDITS=from_1d6_le_2d2,CREDIT=bad,0.48,3.89
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 HOUSING=rent OWN_TELEPHONE=none,CREDIT=bad,0.43,3.88
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid CREDIT_AMOUNT=le_38848d8 RESIDENCE_SINCE=from_1d6_le_2d2 EXISTING_CREDITS=le_1d6,CREDIT=bad,0.29,3.87
PERSONAL_STATUS=female_div_sep_mar,INSTALLMENT_COMMITMENT=gt_2d8 PROPERTY_MAGNITUDE=car OTHER_PAYMENT_PLANS=none OWN_TELEPHONE=yes,CREDIT=bad,0.5,3.87
FOREIGN_WORKER=yes,AGE=le_30d2 OTHER_PAYMENT_PLANS=none NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.35,3.87
FOREIGN_WORKER=yes,DURATION=le_17d6 CREDIT_AMOUNT=le_38848d8 EXISTING_CREDITS=le_1d6 OWN_TELEPHONE=none,CREDIT=bad,0.25,3.87
FOREIGN_WORKER=yes,RESIDENCE_SINCE=from_1d6_le_2d2 OTHER_PAYMENT_PLANS=none OWN_TELEPHONE=none,CREDIT=bad,0.27,3.87
FOREIGN_WORKER=yes,PURPOSE=new_car SAVINGS_STATUS=lt_100 HOUSING=own,CREDIT=bad,0.43,3.87
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 AGE=from_30d2_le_41d4,CREDIT=bad,0.25,3.86
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid CREDIT_AMOUNT=le_38848d8 NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.32,3.86
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid RESIDENCE_SINCE=from_1d6_le_2d2 OTHER_PAYMENT_PLANS=none OWN_TELEPHONE=none,CREDIT=bad,0.32,3.85
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0,CREDIT=bad,0.51,3.85
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 HOUSING=rent OWN_TELEPHONE=none,CREDIT=bad,0.55,3.85
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.55,3.85
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car EMPLOYMENT=lt_1 NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.76,3.84
FOREIGN_WORKER=yes,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 AGE=from_30d2_le_41d4,CREDIT=bad,0.38,3.84
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid AGE=le_30d2 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.34,3.83
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid CREDIT_AMOUNT=le_38848d8 HOUSING=own,CREDIT=bad,0.25,3.83
FOREIGN_WORKER=yes,OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6 NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.31,3.82
FOREIGN_WORKER=yes,PURPOSE=new_car HOUSING=rent,CREDIT=bad,0.54,3.81
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.38,3.81
FOREIGN_WORKER=yes,DURATION=le_17d6 CREDIT_AMOUNT=le_38848d8 SAVINGS_STATUS=lt_100,CREDIT=bad,0.22,3.81
FOREIGN_WORKER=yes,DURATION=le_17d6 CREDIT_AMOUNT=le_38848d8 EXISTING_CREDITS=le_1d6,CREDIT=bad,0.22,3.8
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid CREDIT_AMOUNT=le_38848d8 OTHER_PAYMENT_PLANS=none NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.27,3.8
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 AGE=from_30d2_le_41d4 OWN_TELEPHONE=none,CREDIT=bad,0.63,3.8
FOREIGN_WORKER=yes,DURATION=le_17d6 EXISTING_CREDITS=le_1d6 OWN_TELEPHONE=none,CREDIT=bad,0.25,3.78
FOREIGN_WORKER=yes,EXISTING_CREDITS=le_1d6 JOB=skilled,CREDIT=bad,0.31,3.77
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid RESIDENCE_SINCE=from_1d6_le_2d2 OTHER_PAYMENT_PLANS=none HOUSING=own,CREDIT=bad,0.34,3.77
PERSONAL_STATUS=female_div_sep_mar,EMPLOYMENT=from_1_lt_4 PROPERTY_MAGNITUDE=real_estate OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.36,3.77
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 EMPLOYMENT=lt_1,CREDIT=bad,0.85,3.77
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,EMPLOYMENT=from_1_lt_4 PROPERTY_MAGNITUDE=real_estate OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.36,3.77
PERSONAL_STATUS=female_div_sep_mar,INSTALLMENT_COMMITMENT=gt_2d8 PROPERTY_MAGNITUDE=real_estate OTHER_PAYMENT_PLANS=none OWN_TELEPHONE=none,CREDIT=bad,0.4,3.77
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 EMPLOYMENT=lt_1,CREDIT=bad,0.85,3.77
FOREIGN_WORKER=yes,PURPOSE=new_car SAVINGS_STATUS=lt_100 INSTALLMENT_COMMITMENT=gt_2d8 OWN_TELEPHONE=none,CREDIT=bad,0.62,3.76
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 EXISTING_CREDITS=le_1d6,CREDIT=bad,0.53,3.76
FOREIGN_WORKER=yes,PURPOSE=new_car EMPLOYMENT=from_1_lt_4 INSTALLMENT_COMMITMENT=gt_2d8 OWN_TELEPHONE=none,CREDIT=bad,0.53,3.75
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,INSTALLMENT_COMMITMENT=le_1d6 RESIDENCE_SINCE=le_1d6 NUM_DEPENDENTS=le_1d2,CREDIT=good,0.83,3.75
PERSONAL_STATUS=female_div_sep_mar,INSTALLMENT_COMMITMENT=le_1d6 RESIDENCE_SINCE=le_1d6 NUM_DEPENDENTS=le_1d2,CREDIT=good,0.83,3.75
FOREIGN_WORKER=yes,AGE=le_30d2 HOUSING=own,CREDIT=bad,0.34,3.74
FOREIGN_WORKER=yes,AGE=le_30d2 OTHER_PAYMENT_PLANS=none OWN_TELEPHONE=none,CREDIT=bad,0.34,3.74
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.26,3.74
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid EXISTING_CREDITS=le_1d6 NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.34,3.74
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 DURATION=le_17d6,CREDIT=bad,0.37,3.73
FOREIGN_WORKER=yes,OTHER_PAYMENT_PLANS=none HOUSING=own NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.24,3.73
PERSONAL_STATUS=female_div_sep_mar,RESIDENCE_SINCE=gt_2d8 PROPERTY_MAGNITUDE=real_estate JOB=skilled,CREDIT=bad,0.4,3.73
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 AGE=from_30d2_le_41d4 OWN_TELEPHONE=none,CREDIT=bad,0.62,3.72
FOREIGN_WORKER=yes,DURATION=le_17d6 CREDIT_AMOUNT=le_38848d8 SAVINGS_STATUS=lt_100 OWN_TELEPHONE=none,CREDIT=bad,0.24,3.72
FOREIGN_WORKER=yes,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.53,3.71
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 INSTALLMENT_COMMITMENT=gt_2d8 OWN_TELEPHONE=none,CREDIT=bad,0.61,3.71
PERSONAL_STATUS=female_div_sep_mar,SAVINGS_STATUS=lt_100 EMPLOYMENT=from_1_lt_4 PROPERTY_MAGNITUDE=real_estate AGE=le_30d2,CREDIT=bad,0.57,3.71
FOREIGN_WORKER=yes,INSTALLMENT_COMMITMENT=gt_2d8 JOB=skilled OWN_TELEPHONE=none,CREDIT=bad,0.37,3.7
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 AGE=le_30d2 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.3,3.69
FOREIGN_WORKER=yes,RESIDENCE_SINCE=from_1d6_le_2d2 OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.33,3.69
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid CREDIT_AMOUNT=le_38848d8 HOUSING=own EXISTING_CREDITS=le_1d6,CREDIT=bad,0.26,3.69
PERSONAL_STATUS=female_div_sep_mar,PROPERTY_MAGNITUDE=real_estate AGE=le_30d2 OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6,CREDIT=bad,0.41,3.69
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.52,3.69
PERSONAL_STATUS=female_div_sep_mar,CREDIT_AMOUNT=le_38848d8 EMPLOYMENT=from_1_lt_4 PROPERTY_MAGNITUDE=real_estate OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.35,3.69
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 SAVINGS_STATUS=lt_100 OTHER_PAYMENT_PLANS=none HOUSING=own,CREDIT=bad,0.24,3.69
FOREIGN_WORKER=yes,DURATION=le_17d6 CREDIT_AMOUNT=le_38848d8 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.2,3.68
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid RESIDENCE_SINCE=from_1d6_le_2d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.36,3.68
PERSONAL_STATUS=female_div_sep_mar,EMPLOYMENT=from_1_lt_4 PROPERTY_MAGNITUDE=real_estate NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.42,3.68
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 OTHER_PAYMENT_PLANS=none JOB=skilled OWN_TELEPHONE=none,CREDIT=bad,0.28,3.68
FOREIGN_WORKER=yes,INSTALLMENT_COMMITMENT=gt_2d8 RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.36,3.67
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 OTHER_PAYMENT_PLANS=none HOUSING=own EXISTING_CREDITS=le_1d6,CREDIT=bad,0.22,3.67
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car EMPLOYMENT=lt_1,CREDIT=bad,0.76,3.67
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,PURPOSE=new_car EMPLOYMENT=lt_1,CREDIT=bad,0.76,3.67
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 PROPERTY_MAGNITUDE=real_estate JOB=skilled NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.66,3.66
PERSONAL_STATUS=female_div_sep_mar,CREDIT_HISTORY=existing_paid EMPLOYMENT=lt_1 INSTALLMENT_COMMITMENT=le_1d6 NUM_DEPENDENTS=le_1d2,CREDIT=good,0.73,3.66
FOREIGN_WORKER=yes,DURATION=le_17d6 PURPOSE=new_car SAVINGS_STATUS=lt_100,CREDIT=bad,0.33,3.66
PERSONAL_STATUS=female_div_sep_mar,INSTALLMENT_COMMITMENT=gt_2d8 RESIDENCE_SINCE=gt_2d8 PROPERTY_MAGNITUDE=real_estate AGE=le_30d2,CREDIT=bad,0.76,3.65
FOREIGN_WORKER=yes,HOUSING=rent,CREDIT=bad,0.4,3.65
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid RESIDENCE_SINCE=from_1d6_le_2d2 EXISTING_CREDITS=le_1d6 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.36,3.65
FOREIGN_WORKER=yes,INSTALLMENT_COMMITMENT=gt_2d8 RESIDENCE_SINCE=from_1d6_le_2d2 OWN_TELEPHONE=none,CREDIT=bad,0.36,3.64
FOREIGN_WORKER=yes,DURATION=le_17d6 SAVINGS_STATUS=lt_100 OWN_TELEPHONE=none,CREDIT=bad,0.24,3.64
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8 RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.6,3.64
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 AGE=from_30d2_le_41d4 OWN_TELEPHONE=none,CREDIT=bad,0.6,3.64
FOREIGN_WORKER=yes,PURPOSE=new_car EMPLOYMENT=from_1_lt_4 OWN_TELEPHONE=none,CREDIT=bad,0.4,3.63
FOREIGN_WORKER=yes,DURATION=le_17d6 PURPOSE=new_car EXISTING_CREDITS=le_1d6,CREDIT=bad,0.36,3.63
PERSONAL_STATUS=female_div_sep_mar,CREDIT_HISTORY=existing_paid EMPLOYMENT=from_1_lt_4 RESIDENCE_SINCE=from_1d6_le_2d2 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.66,3.63
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 RESIDENCE_SINCE=from_1d6_le_2d2 OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6,CREDIT=bad,0.25,3.62
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8,CREDIT=bad,0.51,3.62
