aset,bset,class,conf,measure
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8 AGE=le_30d2,CREDIT=bad,0.78,2.28
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 JOB=skilled OWN_TELEPHONE=none,CREDIT=bad,0.56,2.27
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 DURATION=from_17d6_le_31d2 CREDIT_AMOUNT=le_38848d8,CREDIT=bad,0.56,2.27
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8 JOB=skilled,CREDIT=bad,0.56,2.27
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 DURATION=from_17d6_le_31d2 CREDIT_AMOUNT=le_38848d8 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.56,2.27
PERSONAL_STATUS=female_div_sep_mar,CREDIT_HISTORY=existing_paid INSTALLMENT_COMMITMENT=gt_2d8 RESIDENCE_SINCE=gt_2d8 HOUSING=rent,CREDIT=bad,0.7,2.26
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 EXISTING_CREDITS=from_1d6_le_2d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.56,2.26
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 EXISTING_CREDITS=le_1d6 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.56,2.25
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=lt_0 CREDIT_HISTORY=existing_paid RESIDENCE_SINCE=from_1d6_le_2d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.78,2.24
FOREIGN_WORKER=yes,PROPERTY_MAGNITUDE=life_insurance AGE=from_30d2_le_41d4 EXISTING_CREDITS=le_1d6 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.56,2.24
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PROPERTY_MAGNITUDE=life_insurance NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.55,2.23
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.55,2.22
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 SAVINGS_STATUS=lt_100 JOB=skilled,CREDIT=bad,0.55,2.22
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=lt_0 RESIDENCE_SINCE=from_1d6_le_2d2 HOUSING=own,CREDIT=bad,0.85,2.21
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.73,2.2
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=lt_0 RESIDENCE_SINCE=from_1d6_le_2d2 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.81,2.18
PERSONAL_STATUS=female_div_sep_mar,CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8 AGE=le_30d2 HOUSING=rent,CREDIT=bad,0.62,2.18
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car RESIDENCE_SINCE=gt_2d8 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.54,2.18
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,DURATION=from_17d6_le_31d2 PURPOSE=new_car AGE=le_30d2,CREDIT=bad,0.77,2.17
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 PURPOSE=new_car AGE=le_30d2,CREDIT=bad,0.77,2.17
PERSONAL_STATUS=female_div_sep_mar,CREDIT_HISTORY=existing_paid PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 OWN_TELEPHONE=none,CREDIT=bad,0.88,2.17
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 RESIDENCE_SINCE=from_1d6_le_2d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.82,2.17
FOREIGN_WORKER=yes,PURPOSE=new_car OTHER_PAYMENT_PLANS=bank OWN_TELEPHONE=none,CREDIT=bad,0.72,2.16
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 SAVINGS_STATUS=lt_100 PROPERTY_MAGNITUDE=real_estate AGE=le_30d2,CREDIT=bad,0.78,2.16
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_HISTORY=existing_paid RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.84,2.15
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6,CREDIT=bad,0.53,2.14
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.71,2.14
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 INSTALLMENT_COMMITMENT=gt_2d8 RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.71,2.14
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 INSTALLMENT_COMMITMENT=gt_2d8 AGE=from_30d2_le_41d4 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.7,2.12
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car SAVINGS_STATUS=lt_100 AGE=le_30d2 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.73,2.11
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 OTHER_PAYMENT_PLANS=bank OWN_TELEPHONE=none,CREDIT=bad,0.7,2.11
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 EXISTING_CREDITS=le_1d6,CREDIT=bad,0.7,2.11
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 RESIDENCE_SINCE=from_1d6_le_2d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.84,2.11
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 HOUSING=own EXISTING_CREDITS=le_1d6,CREDIT=bad,0.52,2.11
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 AGE=le_30d2 OWN_TELEPHONE=none,CREDIT=bad,0.72,2.1
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 INSTALLMENT_COMMITMENT=gt_2d8 RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.7,2.1
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 SAVINGS_STATUS=lt_100 AGE=le_30d2,CREDIT=bad,0.73,2.1
FOREIGN_WORKER=yes,PURPOSE=new_car SAVINGS_STATUS=lt_100 NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.52,2.1
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 SAVINGS_STATUS=lt_100 PROPERTY_MAGNITUDE=real_estate JOB=skilled,CREDIT=bad,0.73,2.09
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=lt_0 INSTALLMENT_COMMITMENT=gt_2d8 RESIDENCE_SINCE=from_1d6_le_2d2 OTHER_PAYMENT_PLANS=none,CREDIT=bad,1,2.09
FOREIGN_WORKER=yes,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 RESIDENCE_SINCE=from_1d6_le_2d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.69,2.09
FOREIGN_WORKER=yes,PURPOSE=new_car SAVINGS_STATUS=lt_100 INSTALLMENT_COMMITMENT=gt_2d8 RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.69,2.08
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 OTHER_PAYMENT_PLANS=none HOUSING=rent OWN_TELEPHONE=none,CREDIT=bad,0.62,2.08
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=lt_0 RESIDENCE_SINCE=from_1d6_le_2d2 OTHER_PAYMENT_PLANS=none NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.81,2.07
PERSONAL_STATUS=female_div_sep_mar,INSTALLMENT_COMMITMENT=gt_2d8 RESIDENCE_SINCE=gt_2d8 AGE=le_30d2 HOUSING=rent,CREDIT=bad,0.68,2.06
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 INSTALLMENT_COMMITMENT=gt_2d8 JOB=skilled,CREDIT=bad,0.68,2.06
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car EMPLOYMENT=from_1_lt_4 INSTALLMENT_COMMITMENT=gt_2d8,CREDIT=bad,0.68,2.06
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 OTHER_PAYMENT_PLANS=bank OWN_TELEPHONE=none,CREDIT=bad,0.68,2.06
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=lt_0 RESIDENCE_SINCE=from_1d6_le_2d2 EXISTING_CREDITS=le_1d6 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.78,2.06
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 CREDIT_HISTORY=existing_paid SAVINGS_STATUS=lt_100 HOUSING=rent,CREDIT=bad,0.68,2.06
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.68,2.05
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 RESIDENCE_SINCE=from_1d6_le_2d2 EXISTING_CREDITS=le_1d6,CREDIT=bad,0.84,2.04
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 CREDIT_HISTORY=existing_paid PURPOSE=new_car OWN_TELEPHONE=none,CREDIT=bad,0.78,2.04
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8 RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.67,2.03
FOREIGN_WORKER=yes,PURPOSE=new_car OTHER_PAYMENT_PLANS=bank,CREDIT=bad,0.67,2.03
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 PURPOSE=new_car AGE=le_30d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.77,2.02
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.84,2.01
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.84,2.01
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.82,2.01
PERSONAL_STATUS=female_div_sep_mar,INSTALLMENT_COMMITMENT=gt_2d8 AGE=le_30d2 HOUSING=rent OWN_TELEPHONE=none,CREDIT=bad,0.73,2
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=lt_0 DURATION=from_17d6_le_31d2 PURPOSE=new_car NUM_DEPENDENTS=le_1d2,CREDIT=bad,1,2
PERSONAL_STATUS=female_div_sep_mar,CREDIT_HISTORY=existing_paid INSTALLMENT_COMMITMENT=gt_2d8 AGE=le_30d2 HOUSING=rent,CREDIT=bad,0.66,2
PERSONAL_STATUS=female_div_sep_mar,SAVINGS_STATUS=lt_100 INSTALLMENT_COMMITMENT=gt_2d8 AGE=le_30d2 HOUSING=rent,CREDIT=bad,0.66,2
PERSONAL_STATUS=female_div_sep_mar,EMPLOYMENT=from_1_lt_4 AGE=le_30d2 HOUSING=rent OWN_TELEPHONE=none,CREDIT=bad,0.66,2
FOREIGN_WORKER=yes,PURPOSE=new_car OTHER_PAYMENT_PLANS=bank NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.66,2
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 DURATION=from_17d6_le_31d2 SAVINGS_STATUS=lt_100 OWN_TELEPHONE=none,CREDIT=bad,0.66,1.98
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=lt_0 RESIDENCE_SINCE=from_1d6_le_2d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.77,1.97
PERSONAL_STATUS=female_div_sep_mar,CREDIT_HISTORY=existing_paid PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 AGE=le_30d2,CREDIT=bad,0.83,1.97
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 INSTALLMENT_COMMITMENT=gt_2d8 RESIDENCE_SINCE=from_1d6_le_2d2 OWN_TELEPHONE=none,CREDIT=bad,0.65,1.95
FOREIGN_WORKER=yes,DURATION=from_17d6_le_31d2 PURPOSE=new_car OWN_TELEPHONE=none,CREDIT=bad,0.65,1.95
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 OTHER_PAYMENT_PLANS=bank,CREDIT=bad,0.65,1.95
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=from_0_lt_200 EMPLOYMENT=lt_1 INSTALLMENT_COMMITMENT=gt_2d8 AGE=le_30d2,CREDIT=bad,0.73,1.95
PERSONAL_STATUS=female_div_sep_mar,RESIDENCE_SINCE=gt_2d8 AGE=le_30d2 HOUSING=rent EXISTING_CREDITS=from_1d6_le_2d2,CREDIT=bad,0.73,1.95
PERSONAL_STATUS=female_div_sep_mar,AGE=le_30d2 HOUSING=rent EXISTING_CREDITS=from_1d6_le_2d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.65,1.95
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 HOUSING=rent JOB=skilled NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.64,1.94
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 AGE=le_30d2 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.77,1.94
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 OTHER_PAYMENT_PLANS=bank NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.64,1.94
FOREIGN_WORKER=yes,INSTALLMENT_COMMITMENT=gt_2d8 AGE=from_30d2_le_41d4 OTHER_PAYMENT_PLANS=bank OWN_TELEPHONE=none,CREDIT=bad,0.64,1.94
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 EMPLOYMENT=lt_1 AGE=le_30d2,CREDIT=bad,0.64,1.94
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 EMPLOYMENT=from_1_lt_4 INSTALLMENT_COMMITMENT=gt_2d8 EXISTING_CREDITS=from_1d6_le_2d2,CREDIT=bad,0.64,1.94
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.64,1.94
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=lt_0 CREDIT_HISTORY=existing_paid RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.78,1.92
PERSONAL_STATUS=female_div_sep_mar,CREDIT_HISTORY=existing_paid PURPOSE=new_car SAVINGS_STATUS=lt_100 AGE=le_30d2,CREDIT=bad,0.75,1.92
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 CREDIT_HISTORY=existing_paid INSTALLMENT_COMMITMENT=gt_2d8 HOUSING=rent,CREDIT=bad,0.72,1.92
FOREIGN_WORKER=yes,DURATION=from_17d6_le_31d2 PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 OWN_TELEPHONE=none,CREDIT=bad,0.64,1.92
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 AGE=le_30d2 EXISTING_CREDITS=le_1d6,CREDIT=bad,0.82,1.92
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 OTHER_PAYMENT_PLANS=bank NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.64,1.92
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 INSTALLMENT_COMMITMENT=gt_2d8 EXISTING_CREDITS=from_1d6_le_2d2 JOB=skilled,CREDIT=bad,0.63,1.91
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 HOUSING=rent NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.63,1.9
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 AGE=le_30d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.71,1.9
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car EXISTING_CREDITS=le_1d6,CREDIT=bad,0.63,1.9
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car SAVINGS_STATUS=lt_100 INSTALLMENT_COMMITMENT=gt_2d8 AGE=le_30d2,CREDIT=bad,0.81,1.89
FOREIGN_WORKER=yes,OTHER_PAYMENT_PLANS=bank HOUSING=rent,CREDIT=bad,0.63,1.89
FOREIGN_WORKER=yes,SAVINGS_STATUS=lt_100 HOUSING=rent EXISTING_CREDITS=from_1d6_le_2d2 OWN_TELEPHONE=none,CREDIT=bad,0.63,1.89
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6,CREDIT=bad,0.62,1.88
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,AGE=le_30d2 HOUSING=rent EXISTING_CREDITS=from_1d6_le_2d2,CREDIT=bad,0.68,1.88
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 INSTALLMENT_COMMITMENT=gt_2d8 JOB=skilled NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.62,1.87
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 DURATION=from_17d6_le_31d2 RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.62,1.87
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 AGE=le_30d2,CREDIT=bad,0.81,1.87
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 AGE=le_30d2,CREDIT=bad,0.81,1.87
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 AGE=le_30d2 OWN_TELEPHONE=none,CREDIT=bad,0.81,1.86
FOREIGN_WORKER=yes,DURATION=from_17d6_le_31d2 PURPOSE=new_car NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.62,1.86
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car HOUSING=own EXISTING_CREDITS=le_1d6,CREDIT=bad,0.62,1.86
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=lt_0 RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.77,1.85
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 DURATION=from_17d6_le_31d2 CREDIT_AMOUNT=le_38848d8 SAVINGS_STATUS=lt_100,CREDIT=bad,0.61,1.85
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 CREDIT_HISTORY=existing_paid HOUSING=rent OWN_TELEPHONE=none,CREDIT=bad,0.61,1.85
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 OTHER_PAYMENT_PLANS=bank OWN_TELEPHONE=none,CREDIT=bad,0.61,1.85
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=lt_0 DURATION=from_17d6_le_31d2 INSTALLMENT_COMMITMENT=gt_2d8 AGE=le_30d2,CREDIT=bad,0.72,1.85
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car OWN_TELEPHONE=none,CREDIT=bad,0.85,1.85
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car AGE=le_30d2 JOB=skilled NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.66,1.85
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=lt_0 INSTALLMENT_COMMITMENT=gt_2d8 RESIDENCE_SINCE=from_1d6_le_2d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.92,1.84
FOREIGN_WORKER=yes,PURPOSE=new_car SAVINGS_STATUS=lt_100 OTHER_PAYMENT_PLANS=bank NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.92,1.84
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 AGE=le_30d2 HOUSING=rent OWN_TELEPHONE=none,CREDIT=bad,0.61,1.84
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 OTHER_PAYMENT_PLANS=bank,CREDIT=bad,0.61,1.83
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 OTHER_PAYMENT_PLANS=bank OWN_TELEPHONE=none,CREDIT=bad,0.61,1.83
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 SAVINGS_STATUS=lt_100 HOUSING=rent,CREDIT=bad,0.61,1.83
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 EMPLOYMENT=lt_1 RESIDENCE_SINCE=gt_2d8,CREDIT=bad,0.78,1.83
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PROPERTY_MAGNITUDE=life_insurance AGE=from_30d2_le_41d4,CREDIT=bad,0.61,1.83
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=lt_0 RESIDENCE_SINCE=from_1d6_le_2d2 EXISTING_CREDITS=le_1d6,CREDIT=bad,0.78,1.83
PERSONAL_STATUS=female_div_sep_mar,AGE=le_30d2 OTHER_PAYMENT_PLANS=none HOUSING=rent EXISTING_CREDITS=from_1d6_le_2d2,CREDIT=bad,0.61,1.83
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=furniture_or_equipment PROPERTY_MAGNITUDE=car AGE=le_30d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.66,1.83
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=furniture_or_equipment PROPERTY_MAGNITUDE=car AGE=le_30d2,CREDIT=bad,0.66,1.83
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 HOUSING=rent NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.6,1.82
FOREIGN_WORKER=yes,PURPOSE=new_car HOUSING=rent NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.6,1.82
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid PURPOSE=new_car AGE=le_30d2,CREDIT=bad,0.66,1.81
PERSONAL_STATUS=female_div_sep_mar,CREDIT_HISTORY=existing_paid PURPOSE=new_car AGE=le_30d2,CREDIT=bad,0.66,1.81
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 EMPLOYMENT=from_1_lt_4 INSTALLMENT_COMMITMENT=gt_2d8 OWN_TELEPHONE=none,CREDIT=bad,0.6,1.81
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 HOUSING=rent JOB=skilled,CREDIT=bad,0.6,1.81
PERSONAL_STATUS=female_div_sep_mar,DURATION=gt_31d2 INSTALLMENT_COMMITMENT=gt_2d8 OTHER_PAYMENT_PLANS=none NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.8,1.8
PERSONAL_STATUS=female_div_sep_mar,INSTALLMENT_COMMITMENT=gt_2d8 AGE=le_30d2 OTHER_PAYMENT_PLANS=none HOUSING=rent,CREDIT=bad,0.63,1.8
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,PURPOSE=new_car SAVINGS_STATUS=lt_100 AGE=le_30d2,CREDIT=bad,0.76,1.8
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car SAVINGS_STATUS=lt_100 AGE=le_30d2,CREDIT=bad,0.76,1.8
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 RESIDENCE_SINCE=from_1d6_le_2d2 JOB=skilled,CREDIT=bad,0.6,1.8
PERSONAL_STATUS=female_div_sep_mar,DURATION=gt_31d2 INSTALLMENT_COMMITMENT=gt_2d8 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.8,1.8
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,DURATION=gt_31d2 INSTALLMENT_COMMITMENT=gt_2d8 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.8,1.8
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 EMPLOYMENT=from_1_lt_4 INSTALLMENT_COMMITMENT=gt_2d8,CREDIT=bad,0.6,1.8
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 RESIDENCE_SINCE=from_1d6_le_2d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.6,1.8
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car SAVINGS_STATUS=lt_100 AGE=le_30d2 EXISTING_CREDITS=le_1d6,CREDIT=bad,0.73,1.78
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 DURATION=from_17d6_le_31d2 PURPOSE=new_car OWN_TELEPHONE=none,CREDIT=bad,0.88,1.77
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 RESIDENCE_SINCE=from_1d6_le_2d2 JOB=skilled NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.59,1.77
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 DURATION=from_17d6_le_31d2 PROPERTY_MAGNITUDE=life_insurance,CREDIT=bad,0.59,1.77
FOREIGN_WORKER=yes,SAVINGS_STATUS=lt_100 HOUSING=rent EXISTING_CREDITS=from_1d6_le_2d2,CREDIT=bad,0.59,1.77
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=lt_0 DURATION=from_17d6_le_31d2 PURPOSE=new_car,CREDIT=bad,1,1.77
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 DURATION=from_17d6_le_31d2 PURPOSE=new_car,CREDIT=bad,1,1.77
PERSONAL_STATUS=female_div_sep_mar,INSTALLMENT_COMMITMENT=gt_2d8 OTHER_PAYMENT_PLANS=none HOUSING=rent OWN_TELEPHONE=none,CREDIT=bad,0.62,1.77
